"DR_NO","DATETIME","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Mocodes","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","LAT","LON","Location","CALOSA7URN","Gas.Price","temp","visibility","precip","sunrise","sunset","conditions","description","distance_to_center"
210104057,"2021-01-02 17:45",1,"Central",154,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0913 2000 1814 0416",62,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0467,-118.2485,"100 W 5TH ST ",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",759.631990846876
210104034,"2021-01-02 23:50",1,"Central",132,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0416 0913 1814 0448 1414",37,"M","H",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0532,-118.2494,"200 S OLIVE ST ",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",538.114481642148
210104079,"2021-01-03 10:00",1,"Central",154,1,210,"ROBBERY","1414 1822 0305 0416",33,"M","W",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0453,-118.2499,"6TH MAIN",11,3.457,13.1,11.7,0,"06:59","16:56","Partially cloudy","Clearing in the afternoon.",961.665962659669
210104078,"2021-01-03 12:30",1,"Central",143,1,210,"ROBBERY","1281 0312 0334 1822 0355 0344 0416 0429",54,"M","H",102,"SIDEWALK",109,"SEMI-AUTOMATIC PISTOL",34.0495,-118.2494,"4TH ST BROADWAY",11,3.457,13.1,11.7,0,"06:59","16:56","Partially cloudy","Clearing in the afternoon.",608.879895822389
210104115,"2021-01-03 15:10",1,"Central",155,1,121,"RAPE, FORCIBLE","0913 0527 0400 0342 1817",48,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.045,-118.2469,"500 MAPLE AV ",11,3.457,13.1,11.7,0,"06:59","16:56","Partially cloudy","Clearing in the afternoon.",858.316176777409
210104095,"2021-01-03 20:15",1,"Central",127,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","1414 0329 1822 1609 0344",0,"X","X",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0527,-118.2398,"100 N JUDGE JOHN AISO ST ",11,3.457,13.1,11.7,0,"06:59","16:56","Partially cloudy","Clearing in the afternoon.",361.854512543291
210104125,"2021-01-04 09:20",1,"Central",157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0334 0445 1822 1402 0907 2004 2003",51,"M","O",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0435,-118.2427,"5TH ST CROCKER",11,3.457,12.6,12.1,0,"06:59","16:57","Clear","Clear conditions throughout the day.",976.593716798603
210104196,"2021-01-05 17:45",1,"Central",111,2,625,"OTHER ASSAULT","1253 0910 1822 0356",35,"F","H",801,"MTA BUS",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0607,-118.2405,"HILL ST ORD ST",11,3.457,12.5,8.8,0,"06:59","16:58","Partially cloudy","Clearing in the afternoon.",986.986310079998
210104198,"2021-01-05 20:23",1,"Central",123,2,624,"BATTERY - SIMPLE ASSAULT","1402 0416 1822 2004",60,"M","A",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0554,-118.2455,"200 N HILL ST ",11,3.457,12.5,8.8,0,"06:59","16:58","Partially cloudy","Clearing in the afternoon.",390.150167368533
210104232,"2021-01-06 02:00",1,"Central",138,1,820,"ORAL COPULATION","2004 1415 2034 1218 2001 1206 0913 0512 2033",44,"M","H",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0476,-118.2449,"200 BOYD ST ",11,3.457,14.2,13.8,0,"06:59","16:59","Clear","Clear conditions throughout the day.",528.034538503488
210100504,"2021-01-06 10:00",1,"Central",157,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0448 2060 1218 2004 0913 1813 1814 0429",49,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0442,-118.2439,"5TH SAN PEDRO",11,3.457,14.2,13.8,0,"06:59","16:59","Clear","Clear conditions throughout the day.",894.676019499809
210104230,"2021-01-06 10:30",1,"Central",156,2,624,"BATTERY - SIMPLE ASSAULT","0917 0913 0416 2003",63,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0445,-118.2448,"400 E 5TH ST ",11,3.457,14.2,13.8,0,"06:59","16:59","Clear","Clear conditions throughout the day.",867.198045021894
210104275,"2021-01-06 12:00",1,"Central",124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0419 0416 0431 1822 1414 2035 0903 2055 1514",25,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0529,-118.2445,"1ST ST SPRING",11,3.457,14.2,13.8,0,"06:59","16:59","Clear","Clear conditions throughout the day.",105.631836616383
210104431,"2021-01-06 12:05",1,"Central",124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0342 0416 1414 1822 0431",19,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0529,-118.2445,"1ST SPRING ST",11,3.457,14.2,13.8,0,"06:59","16:59","Clear","Clear conditions throughout the day.",105.631836616383
210105132,"2021-01-06 13:00",1,"Central",124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0319 1822 1414 0416 0431",51,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0529,-118.2445,"1ST ST SPRING ST",11,3.457,14.2,13.8,0,"06:59","16:59","Clear","Clear conditions throughout the day.",105.631836616383
210104244,"2021-01-06 14:40",1,"Central",156,2,624,"BATTERY - SIMPLE ASSAULT","1202 0445 0913 0361 0416",72,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,"UNKNOWN WEAPON/OTHER WEAPON",34.044,-118.2467,"500 WALL ST ",11,3.457,14.2,13.8,0,"06:59","16:59","Clear","Clear conditions throughout the day.",958.021567105505
210104251,"2021-01-07 04:35",1,"Central",132,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0416 0913 1813 1814 1414",26,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0557,-118.2504,"100 S HOPE ST ",11,3.457,13.4,14.1,0,"06:59","16:59","Clear","Clear conditions throughout the day.",729.77222824657
210104270,"2021-01-07 06:30",1,"Central",155,2,624,"BATTERY - SIMPLE ASSAULT","1218 2034 0416 2060",63,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0449,-118.2458,"5TH ST E WALL",11,3.457,13.4,14.1,0,"06:59","16:59","Clear","Clear conditions throughout the day.",839.551061401153
210104875,"2021-01-07 08:00",1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT","0444 1822 0910",35,"F","B",966,"MTA - GOLD LINE - UNION STATION",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,13.4,14.1,0,"06:59","16:59","Clear","Clear conditions throughout the day.",714.355096941368
210104282,"2021-01-07 11:50",1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT","0416 2004 0910 2048",23,"M","H",406,"OTHER STORE",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,13.4,14.1,0,"06:59","16:59","Clear","Clear conditions throughout the day.",714.355096941368
220104413,"2021-01-07 13:10",1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT","1822 0416 0910",28,"M","H",900,"MTA - RED LINE - UNION STATION",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,13.4,14.1,0,"06:59","16:59","Clear","Clear conditions throughout the day.",714.355096941368
210104299,"2021-01-07 20:00",1,"Central",165,1,330,"BURGLARY FROM VEHICLE","1300 0344 1609 1307 0329 1822",23,"F","W",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0446,-118.249,"6TH LOS ANGELES",11,3.457,13.4,14.1,0,"06:59","16:59","Clear","Clear conditions throughout the day.",981.263899130815
210100507,"2021-01-07 21:25",1,"Central",155,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1402 1609 0329 2004 1822 1414",0,"X","X",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",312,"PIPE/METAL PIPE",34.0448,-118.2474,"200 E 6TH ST ",11,3.457,13.4,14.1,0,"06:59","16:59","Clear","Clear conditions throughout the day.",895.857165818584
210104535,"2021-01-08 09:30",1,"Central",138,1,210,"ROBBERY","0345 0305 0416 0429 0344 1822 1238",55,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0487,-118.242,"200 S SAN PEDRO ST ",11,3.457,13.6,12.2,0,"06:59","17:00","Clear","Clear conditions throughout the day.",423.024170805331
210104319,"2021-01-08 12:50",1,"Central",111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1822 1266 1414 1218",28,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0553,-118.2392,"400 N LOS ANGELES ST ",11,3.457,13.6,12.2,0,"06:59","17:00","Clear","Clear conditions throughout the day.",536.06622842678
210104348,"2021-01-08 18:00",1,"Central",144,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0421 0913",37,"M","W",103,"ALLEY",511,"VERBAL THREAT",34.0482,-118.2489,"400 S SPRING ST ",11,3.457,13.6,12.2,0,"06:59","17:00","Clear","Clear conditions throughout the day.",658.250273310099
210104327,"2021-01-08 21:35",1,"Central",153,2,946,"OTHER MISCELLANEOUS CRIME","1300 1501 2004",50,"M","B",122,"VEHICLE, PASSENGER/TRUCK",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0467,-118.252,"600 S SPRING ST ",11,3.457,13.6,12.2,0,"06:59","17:00","Clear","Clear conditions throughout the day.",983.923958774311
210104335,"2021-01-09 02:00",1,"Central",132,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 0417 0342 1414 1822",37,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0532,-118.2494,"200 S OLIVE ST ",11,3.457,15.4,14,0,"06:59","17:01","Clear","Clear conditions throughout the day.",538.114481642148
210104354,"2021-01-09 16:19",1,"Central",147,1,648,"ARSON","1501",0,"M","O",516,"SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS",506,"FIRE",34.0453,-118.2443,"300 E 5TH ST ",11,3.457,15.4,14,0,"06:59","17:01","Clear","Clear conditions throughout the day.",774.095386726472
210104369,"2021-01-09 22:00",1,"Central",156,2,624,"BATTERY - SIMPLE ASSAULT","1259 0913 1218 2004 0444",17,"M","W",710,"OTHER PREMISE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,"500 S SAN PEDRO ST ",11,3.457,15.4,14,0,"06:59","17:01","Clear","Clear conditions throughout the day.",964.779674721722
210104371,"2021-01-09 22:00",1,"Central",156,2,624,"BATTERY - SIMPLE ASSAULT","0913 1218 2004 2033 0561 0416",48,"F","B",710,"OTHER PREMISE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0437,-118.2455,"500 S SAN PEDRO ST ",11,3.457,15.4,14,0,"06:59","17:01","Clear","Clear conditions throughout the day.",964.779674721722
210104401,"2021-01-10 08:45",1,"Central",123,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2033 2000 1813 0913 1218 0416 0408",58,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0554,-118.2455,"200 N HILL ST ",11,3.457,14.7,16,0,"06:59","17:02","Clear","Clear conditions throughout the day.",390.150167368533
210104406,"2021-01-10 12:30",1,"Central",153,1,210,"ROBBERY","1202 0344 0377 1822 0416",67,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.046,-118.251,"200 W 6TH ST ",11,3.457,14.7,16,0,"06:59","17:02","Clear","Clear conditions throughout the day.",968.094581681137
210104411,"2021-01-10 16:45",1,"Central",156,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1218 1268 2000 0416 0913 1814",44,"F","H",504,"OTHER RESIDENCE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.044,-118.2467,"500 WALL ST ",11,3.457,14.7,16,0,"06:59","17:02","Clear","Clear conditions throughout the day.",958.021567105505
210104405,"2021-01-10 19:30",1,"Central",154,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0913 0361 0421",46,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,"UNKNOWN WEAPON/OTHER WEAPON",34.046,-118.2493,"500 S LOS ANGELES ST ",11,3.457,14.7,16,0,"06:59","17:02","Clear","Clear conditions throughout the day.",866.113077327793
210104424,"2021-01-10 19:45",1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT","1254 2003 2050 2052 0356 0910 2004 1822",48,"F","H",966,"MTA - GOLD LINE - UNION STATION",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,14.7,16,0,"06:59","17:02","Clear","Clear conditions throughout the day.",714.355096941368
210104404,"2021-01-10 21:00",1,"Central",154,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","0913 2004 2000 1402 1218 1814 0334 0421 0417",35,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",201,"KNIFE WITH BLADE OVER 6 INCHES IN LENGTH",34.046,-118.2493,"500 S LOS ANGELES ST ",11,3.457,14.7,16,0,"06:59","17:02","Clear","Clear conditions throughout the day.",866.113077327793
210104459,"2021-01-11 02:45",1,"Central",124,1,210,"ROBBERY","0344 1218 1822 1202 0443",62,"M","B",102,"SIDEWALK",113,"SIMULATED GUN",34.0517,-118.2456,"2ND ST SPRING ST",11,3.457,14.7,16,0,"06:59","17:03","Clear","Clear conditions throughout the day.",186.568835040428
210104428,"2021-01-11 02:50",1,"Central",138,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","1206 2034 1414 2000 1402 0411 0913 1814",29,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,"KNIFE WITH BLADE 6INCHES OR LESS",34.0493,-118.2417,"200 E 2ND ST ",11,3.457,14.7,16,0,"06:59","17:03","Clear","Clear conditions throughout the day.",374.431981165421
220104601,"2021-01-11 03:30",1,"Central",154,2,625,"OTHER ASSAULT","1218 2004 0603 0444 0361",60,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0467,-118.2485,"100 W 5TH ST ",11,3.457,14.7,16,0,"06:59","17:03","Clear","Clear conditions throughout the day.",759.631990846876
220104600,"2021-01-11 03:30",1,"Central",154,2,625,"OTHER ASSAULT","1218 0913 0603 2004 0416 0361",50,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0467,-118.2485,"100 W 5TH ST ",11,3.457,14.7,16,0,"06:59","17:03","Clear","Clear conditions throughout the day.",759.631990846876
210104432,"2021-01-11 06:45",1,"Central",147,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2033 1822 1414 1402 0411 1218",33,"M","B",102,"SIDEWALK",207,"OTHER KNIFE",34.0449,-118.2458,"5TH ST WALL ST",11,3.457,14.7,16,0,"06:59","17:03","Clear","Clear conditions throughout the day.",839.551061401153
210104525,"2021-01-11 19:47",1,"Central",119,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0910 1822 1501 0400 1420 0329 2050 2052",0,"F","B",900,"MTA - RED LINE - UNION STATION",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,14.7,16,0,"06:59","17:03","Clear","Clear conditions throughout the day.",714.355096941368
210104473,"2021-01-12 04:15",1,"Central",145,1,330,"BURGLARY FROM VEHICLE","1402 0344 1609 1307 0329 1822 1202 1414",67,"M","W",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0464,-118.248,"5TH ST LOS ANGELES",11,3.457,14.9,16,0,"06:58","17:04","Clear","Clear conditions throughout the day.",761.878164806154
210104480,"2021-01-12 09:40",1,"Central",124,2,624,"BATTERY - SIMPLE ASSAULT","0416 0305 1822 2004",32,"F","A",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0515,-118.2424,"1ST LOS ANGELES",11,3.457,14.9,16,0,"06:58","17:04","Clear","Clear conditions throughout the day.",143.865326214296
210104513,"2021-01-12 10:32",1,"Central",138,1,350,"THEFT, PERSON","2000 0419 0913 1813",32,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0485,-118.2448,"200 S LOS ANGELES ST ",11,3.457,14.9,16,0,"06:58","17:04","Clear","Clear conditions throughout the day.",428.352257666829
210104483,"2021-01-12 10:50",1,"Central",119,2,625,"OTHER ASSAULT","0400 1822 2004 0910 2048",60,"M","O",900,"MTA - RED LINE - UNION STATION",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,14.9,16,0,"06:58","17:04","Clear","Clear conditions throughout the day.",714.355096941368
210104501,"2021-01-12 14:40",1,"Central",154,2,624,"BATTERY - SIMPLE ASSAULT","0444 0429 1822 1202 1414 0910",67,"M","H",124,"BUS STOP",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0453,-118.2499,"6TH ST MAIN",11,3.457,14.9,16,0,"06:58","17:04","Clear","Clear conditions throughout the day.",961.665962659669
210104508,"2021-01-12 17:45",1,"Central",135,2,624,"BATTERY - SIMPLE ASSAULT","1822 0416",31,"M","X",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0481,-118.2472,"4TH MAIN",11,3.457,14.9,16,0,"06:58","17:04","Clear","Clear conditions throughout the day.",563.122963708484
210104556,"2021-01-12 23:45",1,"Central",153,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0444 0448 0913 1414",29,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0481,-118.2507,"300 W 5TH ST ",11,3.457,14.9,16,0,"06:58","17:04","Clear","Clear conditions throughout the day.",794.199434130006
210108166,"2021-01-13 06:00",1,"Central",153,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0913 0416 0448 0419 0429",23,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.046,-118.251,"200 W 6TH ST ",11,3.457,15.4,16,0,"06:58","17:05","Clear","Clear conditions throughout the day.",968.094581681137
210104533,"2021-01-13 08:00",1,"Central",135,1,220,"ATTEMPTED ROBBERY","1822 0416 2004 1414",31,"F","H",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0499,-118.2464,"3RD MAIN",11,3.457,15.4,16,0,"06:58","17:05","Clear","Clear conditions throughout the day.",361.057288731909
210104532,"2021-01-13 08:10",1,"Central",138,1,210,"ROBBERY","1402 2004 0416 0355 0421 0344 1822 1414",29,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0472,-118.2443,"BOYD WALL",11,3.457,15.4,16,0,"06:58","17:05","Clear","Clear conditions throughout the day.",563.375255883182
210104544,"2021-01-13 14:00",1,"Central",154,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0913 0361 0443 0421",54,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,"VERBAL THREAT",34.0467,-118.2485,"100 W 5TH ST ",11,3.457,15.4,16,0,"06:58","17:05","Clear","Clear conditions throughout the day.",759.631990846876
210104541,"2021-01-13 15:45",1,"Central",124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 2034 0416 1822 1268 1414",24,"M","H",102,"SIDEWALK",312,"PIPE/METAL PIPE",34.0529,-118.2445,"1ST SPRING",11,3.457,15.4,16,0,"06:58","17:05","Clear","Clear conditions throughout the day.",105.631836616383
210104552,"2021-01-13 20:45",1,"Central",119,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","2024 0329 1402 0910 1822 1414",0,"X","X",834,"LA UNION STATION (NOT LINE SPECIFIC)",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,15.4,16,0,"06:58","17:05","Clear","Clear conditions throughout the day.",714.355096941368
210104583,"2021-01-14 13:32",1,"Central",152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1822",0,"X","X",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0495,-118.2528,"500 W 5TH ST ",11,3.457,17.8,16,0,"06:58","17:06","Clear","Clear conditions throughout the day.",894.306563927795
210104626,"2021-01-14 16:00",1,"Central",111,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","0397 1602 1300 0385 1822 0344",0,"X","X",108,"PARKING LOT",500,"UNKNOWN WEAPON/OTHER WEAPON",34.0607,-118.2435,"600 N GRAND AV ",11,3.457,17.8,16,0,"06:58","17:06","Clear","Clear conditions throughout the day.",942.470620029505
220104927,"2021-01-14 19:30",1,"Central",135,2,624,"BATTERY - SIMPLE ASSAULT","1251 0319 0361 0913 1218 2004 0416",30,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0495,-118.2459,"100 E 3RD ST ",11,3.457,17.8,16,0,"06:58","17:06","Clear","Clear conditions throughout the day.",366.752271330426
